,#,target
1147,AGT21243@N,0
1148,ADD62481@N,0
1149,APY26726@N,0
1150,AGT20808@N,0
1151,AGT20913@N,0
1152,AGT20928@N,0
1153,AGT21138@N,0
1154,AGT21258@N,0
1155,AGT21273@N,0
1156,APD51499@N,0
1157,AGT20883@N,0
1158,AGT21108@N,0
1159,AGT21123@N,0
1160,AGT21153@N,0
1161,AGT21183@N,0
1162,AGT21318@N,0
1163,APZ73733@N,0
1164,APY26879@N,0
1165,APZ73688@N,0
1166,ALR84915@N,0
1167,YP_009199242@N,0
1168,AHX26055@N,0
1169,AHX26100@N,0
1170,APZ73825@N,0
1171,AVP25406@N,0
1172,AGZ89681@N,0
1173,APY26834@N,0
1174,AHX26064@N,0
1175,QBM00061@N,0
1176,AFR58686@N,0
1177,AFR58700@N,0
1178,AFR58728@N,0
1179,AFR58742@N,0
1180,AFR58672@N,0
1181,AFR58714@N,0
1182,AEK25521@N,0
1183,APY26825@N,0
1184,APZ73787@N,0
1185,APD51507@N,0
1186,APD51475@N,0
1187,APD51483@N,0
1188,YP_009328935@N,0
1189,AEK25511@N,0
1190,AFU92122@N,0
1191,AFU92131@N,0
1192,AGT52080@N,0
1193,AFX59327@N,0
1194,AGT20793@N,0
1195,AGT20823@N,0
1196,AGT20838@N,0
1197,AGT20853@N,0
1198,AGT20868@N,0
1199,AGT20943@N,0
1200,AGT20958@N,0
1201,AGT20973@N,0
1202,AGT20988@N,0
1203,AGT21003@N,0
1204,AGT21018@N,0
1205,AGT21033@N,0
1206,AGT21048@N,0
1207,AGT21078@N,0
1208,AGT21168@N,0
1209,AGT21198@N,0
1210,AGT21213@N,0
1211,AGT21228@N,0
1212,AGT21288@N,0
1213,AGT21303@N,0
1214,ASL24654@N,0
1215,APV46121@N,0
1216,APZ73670@N,0
1217,AYL64492@N,0
1218,AFV09314@N,0
1219,AFP23843@N,0
1220,QCQ19966@N,0
1221,AFR54326@N,0
1222,QCQ19930@N,0
1223,QCQ19936@N,0
1224,QCQ19960@N,0
1225,QCQ19954@N,0
1226,QCQ19948@N,0
1227,AHX26073@N,0
1228,QCQ19984@N,0
1229,AHB74007@N,0
1230,AJP67420@N,0
1231,AFV46344@N,0
1232,AGZ48806@N,0
1233,AFC98504@N,0
1234,QCQ20026@N,0
1235,AFQ37598@N,0
1236,AGA94620@N,0
1237,QGZ28404@N,0
1238,AFB77234@N,0
1239,AHX26118@N,0
1240,QAR17949@N,0
1241,QCQ19942@N,0
1242,QCQ20014@N,0
1243,AHX25911@N,0
1244,AHX26127@N,0
1245,AJP67402@N,0
1246,AKC34133@N,0
1247,AHX26136@N,0
1248,AHX25920@N,0
1249,AGC74165@N,0
1250,AHX25893@N,0
1251,QCQ20020@N,0
1252,AQW43023@N,0
1253,AHN54764@N,0
1254,YP_009380521@N,0
1255,AGJ98437@N,0
1256,AHG97559@N,0
1257,AHX26082@N,0
1258,APD70934@N,0
1259,APV46112@N,0
1260,AQD20737@N,0
1261,AFQ94222@N,0
1262,AHX25929@N,0
1263,AGZ89672@N,0
1264,QCQ20032@N,0
1265,AFW98998@N,0
1266,APV46139@N,0
1267,AHX25947@N,0
1268,AHX26145@N,0
1269,AHX25938@N,0
1270,AHX26154@N,0
1271,AHX26172@N,0
1272,AJP67414@N,0
1273,QCE31533@N,0
1274,AFX98013@N,0
1275,AIJ01335@N,0
1276,AIJ01341@N,0
1277,QCQ19798@N,0
1278,AFP81695@N,0
1279,AVK78141@N,0
1280,AGR51642@N,0
1281,AJP67396@N,0
1282,AJP67426@N,0
1283,AIE15935@N,0
1284,AGG55737@N,0
1285,AGZ48818@N,0
1286,APV46184@N,0
1287,APW85794@N,0
1288,AHX25956@N,0
1289,AQD20746@N,0
1290,AGM75126@N,0
1291,AJA91196@N,0
1292,AJA91207@N,0
1293,AJA91217@N,0
1294,YP_009113025@N,0
1295,QBP43256@N,0
1296,AHX25902@N,0
1297,APY23605@N,0
1298,AHB73989@N,0
1299,QCQ19876@N,0
1300,QCQ19822@N,0
1301,QCQ19864@N,0
1302,QCQ19804@N,0
1303,AXE71621@N,0
1304,APU51865@N,0
1305,AFY11698@N,0
1306,QCQ19972@N,0
1307,AFY11707@N,0
1308,AHX25965@N,0
1309,AQD20755@N,0
1310,AIG54295@N,0
1311,AGK89914@N,0
1312,AGZ48831@N,0
1313,APV46157@N,0
1314,APU51847@N,0
1315,QBP43268@N,0
1316,QCQ19828@N,0
1317,ATO98132@N,0
1318,ATO98145@N,0
1319,ATO98120@N,0
1320,QCQ19834@N,0
1321,QCQ20008@N,0
1322,AHX26109@N,0
1323,AHX25974@N,0
1324,AGT17716@N,0
1325,AGT17727@N,0
1326,AGT17738@N,0
1327,AGT17749@N,0
1328,AHX25983@N,0
1329,AWV57054@N,0
1330,AKE53205@N,0
1331,ASV64375@N,0
1332,ANA96039@N,0
1333,QCQ19858@N,0
1334,QCQ19810@N,0
1335,QDQ69173@N,0
1336,AHN49809@N,0
1337,AHX26163@N,0
1338,AJO26973@N,0
1339,AJO26983@N,0
1340,AJO26993@N,0
1341,AJO27003@N,0
1342,AJO27013@N,0
1343,AJO27023@N,0
1344,AWR92745@N,0
1345,APY26816@N,0
1346,ASV64384@N,0
1347,QCQ19816@N,0
1348,AWV57048@N,0
1349,ALL27302@N,0
1350,APV46166@N,0
1351,AHW40030@N,0
1352,QCQ19996@N,0
1353,ARJ34226@N,0
1354,YP_009361857@N,0
1355,ASV64393@N,0
1356,ASV64402@N,0
1357,AHF20045@N,0
1358,AHM88217@N,0
1359,AJP67432@N,0
1360,APW85785@N,0
1361,AKA60054@N,0
1362,AVU05452@N,0
1363,AJD07366@N,0
1364,AHN64774@N,0
1365,ATO98157@N,0
1366,ATO98193@N,0
1367,ATO98169@N,0
1368,ATO98181@N,0
1369,QBP43279@N,0
1370,AHC03502@N,0
1371,AIL94216@N,0
1372,YP_009072440@N,0
1373,AST13215@N,0
1374,APW85776@N,0
1375,AHC03508@N,0
1376,AGO58924@N,0
1377,AKV60429@N,0
1378,AHN64783@N,0
1379,AIK69675@N,0
1380,AHA38118@N,0
1381,AHA38160@N,0
1382,AKP80610@N,0
1383,AHZ94881@N,0
1384,AHZ94887@N,0
1385,AHN64792@N,0
1386,AKZ19076@N,0
1387,AKZ19087@N,0
1388,AHX26001@N,0
1389,AHX25992@N,0
1390,ANY27037@N,0
1391,AGS12449@N,0
1392,AKP80617@N,0
1393,ARM65485@N,0
1394,APX42107@N,0
1395,AIN52094@N,0
1396,AIN52088@N,0
1397,AKR05178@N,0
1398,APV46175@N,0
1399,QBP43290@N,0
1400,AHA38139@N,0
1401,AID56667@N,0
1402,AIA61014@N,0
1403,AHX26010@N,0
1404,AGY31022@N,0
1405,AID57081@N,0
1406,APZ73834@N,0
1407,AKO90055@N,0
1408,QCQ19978@N,0
1409,AID56673@N,0
1410,AID56679@N,0
1411,AVV62526@N,0
1412,ALK02457@N,0
1413,ATO98205@N,0
1414,AID56685@N,0
1415,AID56691@N,0
1416,AID56697@N,0
1417,AVU05410@N,0
1418,AVU05466@N,0
1419,ANA96027@N,0
1420,AHB79523@N,0
1421,ALM09359@N,0
1422,AID56703@N,0
1423,AID56709@N,0
1424,AID56715@N,0
1425,AID56721@N,0
1426,AKP80589@N,0
1427,ASL68941@N,0
1428,AHG97485@N,0
1429,AID56727@N,0
1430,AVU05424@N,0
1431,AVU05417@N,0
1432,ARB66171@N,0
1433,APY23614@N,0
1434,ALM09364@N,0
1435,AID56733@N,0
1436,AML40818@N,0
1437,AID56739@N,0
1438,AID56745@N,0
1439,AID56751@N,0
1440,AID56757@N,0
1441,AID56763@N,0
1442,AHY22525@N,0
1443,AHY22535@N,0
1444,AHY22545@N,0
1445,AHY22555@N,0
1446,AHY22565@N,0
1447,AIN52100@N,0
1448,AIN52106@N,0
1449,AID56769@N,0
1450,AID56775@N,0
1451,AID57105@N,0
1452,AID56781@N,0
1453,AID56787@N,0
1454,ALM09370@N,0
1455,AHE78097@N,0
1456,AID56793@N,0
1457,AID56799@N,0
1458,AID57039@N,0
1459,ANY27031@N,0
1460,AOC38021@N,0
1461,AHX26019@N,0
1462,AID56805@N,0
1463,AID57087@N,0
1464,AID56811@N,0
1465,AID56817@N,0
1466,AID56823@N,0
1467,AHX26028@N,0
1468,AID56829@N,0
1469,AID56835@N,0
1470,AID56841@N,0
1471,AID56847@N,0
1472,AID56853@N,0
1473,AID56865@N,0
1474,AID57093@N,0
1475,AHX26037@N,0
1476,AHX26046@N,0
1477,AID56871@N,0
1478,AID56877@N,0
1479,AID56859@N,0
1480,AID56889@N,0
1481,AID56895@N,0
1482,AHX00731@N,0
1483,AID56883@N,0
1484,AID56901@N,0
1485,AIN52112@N,0
1486,AIN52118@N,0
1487,AIN52124@N,0
1488,AIN52130@N,0
1489,AIN52136@N,0
1490,AKR05184@N,0
1491,AID66720@N,0
1492,AID56913@N,0
1493,AID56919@N,0
1494,AID56907@N,0
1495,AID57099@N,0
1496,AID56925@N,0
1497,AID56937@N,0
1498,AID56943@N,0
1499,AID56949@N,0
1500,AID56931@N,0
1501,QCQ20002@N,0
1502,AID56955@N,0
1503,AKP80596@N,0
1504,AKP80603@N,0
1505,AID56973@N,0
1506,AID56979@N,0
1507,AID56961@N,0
1508,AID56967@N,0
1509,AID56985@N,0
1510,AID56991@N,0
1511,AID56997@N,0
1512,AID57003@N,0
1513,AID57009@N,0
1514,AID57015@N,0
1515,AID57021@N,0
1516,AID57051@N,0
1517,AHX26091@N,0
1518,AID57027@N,0
1519,AID57033@N,0
1520,AHX00711@N,0
1521,AHX00721@N,0
1522,AMD11124@N,0
1523,AMD11118@N,0
1524,AKP80624@N,0
1525,AMR60480@N,0
1526,AJP67438@N,0
1527,AJP67444@N,0
1528,AID57045@N,0
1529,AMS37100@N,0
1530,AKJ21725@N,0
1531,ARJ54146@N,0
1532,AHL45007@N,0
1533,AMS37110@N,0
1534,AKJ21779@N,0
1535,AIB07785@N,0
1536,AIB07793@N,0
1537,AKJ21797@N,0
1538,QCQ19852@N,0
1539,AIB07800@N,0
1540,AKJ21701@N,0
1541,AKJ21821@N,0
1542,AHL38184@N,0
1543,ATN37896@N,0
1544,ATN37888@N,0
1545,ASV64411@N,0
1546,AKJ21827@N,0
1547,AKP80631@N,0
1548,AIK28708@N,0
1549,AKJ22175@N,0
1550,AID57057@N,0
1551,AHN60052@N,0
1552,AIB07807@N,0
1553,AID57063@N,0
1554,AKJ21893@N,0
1555,AID57069@N,0
1556,ASV64420@N,0
1557,AHN16220@N,0
1558,AHX58670@N,0
1559,AHX58676@N,0
1560,AHX58682@N,0
1561,AID57075@N,0
1562,AKJ21803@N,0
1563,ASV64429@N,0
1564,AIJ19445@N,0
1565,ASV64438@N,0
1566,AML40867@N,0
1567,AML40874@N,0
1568,ALM09375@N,0
1569,AML40860@N,0
1570,AKJ21755@N,0
1571,AKJ21941@N,0
1572,AKJ21707@N,0
1573,AIA60973@N,0
1574,AKJ21905@N,0
1575,AHN16227@N,0
1576,AKJ21845@N,0
1577,AHX71946@N,0
1578,AKJ21977@N,0
1579,AKJ21989@N,0
1580,AKJ21995@N,0
1581,AKJ22211@N,0
1582,AKJ21731@N,0
1583,AIA60994@N,0
1584,ASU45840@N,0
1585,ASU45873@N,0
1586,AKJ22025@N,0
1587,AIA60980@N,0
1588,AHM88400@N,0
1589,AIA61001@N,0
1590,AYS76105@N,0
1591,AML40839@N,0
1592,AML40846@N,0
1593,AKJ21833@N,0
1594,AKJ21851@N,0
1595,AKJ22073@N,0
1596,AKJ22031@N,0
1597,AVV64341@N,0
1598,AJP67450@N,0
1599,AJP67456@N,0
1600,AIH06857@N,0
1601,AIS82613@N,0
1602,AIR95864@N,0
1603,AKJ22037@N,0
1604,ARD05999@N,0
1605,ALT66880@N,0
1606,AKJ21911@N,0
1607,AKJ21947@N,0
1608,AKJ22079@N,0
1609,AKJ21761@N,0
1610,AKP99781@N,0
1611,AKJ22097@N,0
1612,AML40776@N,0
1613,AKJ21917@N,0
1614,AIA60987@N,0
1615,QGQ60228@N,0
1616,AKJ22043@N,0
1617,AKJ22049@N,0
1618,AKJ22085@N,0
1619,AKJ21767@N,0
1620,ALT66870@N,0
1621,AKJ21953@N,0
1622,ASU45829@N,0
1623,QCQ19846@N,0
1624,AKJ21857@N,0
1625,AKJ22103@N,0
1626,AKJ21809@N,0
1627,AKJ21863@N,0
1628,AKJ21959@N,0
1629,AML40783@N,0
1630,AML40895@N,0
1631,AKJ21815@N,0
1632,AJW67223@N,0
1633,QGQ60240@N,0
1634,AIP90486@N,0
1635,QGQ60234@N,0
1636,AIA99518@N,0
1637,AKJ21923@N,0
1638,QGQ60246@N,0
1639,QCQ19882@N,0
1640,AKJ22115@N,0
1641,AKJ22001@N,0
1642,AML40881@N,0
1643,AKJ21929@N,0
1644,AML40888@N,0
1645,AKJ21785@N,0
1646,AIT11900@N,0
1647,AKJ21869@N,0
1648,AKJ21935@N,0
1649,AKJ21965@N,0
1650,AML40790@N,0
1651,AML40797@N,0
1652,AKJ21737@N,0
1653,AKJ22055@N,0
1654,AKJ22127@N,0
1655,AKJ21983@N,0
1656,AKJ22109@N,0
1657,AKJ21875@N,0
1658,AKJ21881@N,0
1659,AKJ21839@N,0
1660,AKJ22121@N,0
1661,AML40811@N,0
1662,ALM31932@N,0
1663,AKJ22007@N,0
1664,AKJ21743@N,0
1665,AKJ22013@N,0
1666,ARB66153@N,0
1667,APY23488@N,0
1668,ALA49341@N,0
1669,APU51856@N,0
1670,AMC39584@N,0
1671,AML40853@N,0
1672,ALJ32185@N,0
1673,AKJ22067@N,0
1674,ASL68953@N,0
1675,ANC68207@N,0
1676,AVV62537@N,0
1677,ALM09382@N,0
1678,AQX36342@N,0
1679,ATO98108@N,0
1680,AML40804@N,0
1681,AKJ21971@N,0
1682,AKJ22133@N,0
1683,AKJ21791@N,0
1684,AML40825@N,0
1685,AML40832@N,0
1686,AKJ22193@N,0
1687,AOG30822@N,0
1688,YP_009273005@N,0
1689,AKJ22199@N,0
1690,ASU45851@N,0
1691,AJG44058@N,0
1692,AJG44069@N,0
1693,AJG44080@N,0
1694,AJG44091@N,0
1695,AJG44102@N,0
1696,AJG44113@N,0
1697,ALA50088@N,0
1698,ALA50095@N,0
1699,ALA50102@N,0
1700,ASU45862@N,0
1701,ASU45818@N,0
1702,ANI69824@N,0
1703,AML40902@N,0
1704,QCQ19906@N,0
1705,QCQ19870@N,0
1706,AKJ22139@N,0
1707,AYR18505@N,0
1708,AYR18455@N,0
1709,AYR18493@N,0
1710,AYR18461@N,0
1711,AYR18436@N,0
1712,AYR18473@N,0
1713,AYR18487@N,0
1714,AYR18511@N,0
1715,AYR18400@N,0
1716,AYR18481@N,0
1717,AYR18499@N,0
1718,AYR18412@N,0
1719,AYR18442@N,0
1720,AYR18418@N,0
1721,AYR18406@N,0
1722,AYR18430@N,0
1723,AYR18424@N,0
1724,AYR18448@N,0
1725,AYR18479@N,0
1726,AML83916@N,0
1727,ALA49352@N,0
1728,ALA49363@N,0
1729,ARJ31774@N,0
1730,APY26870@N,0
1731,QCQ19888@N,0
1732,AKH45338@N,0
1733,AKH45344@N,0
1734,QCI31469@N,0
1735,QCI31480@N,0
1736,AVU05438@N,0
1737,AVU05459@N,0
1738,AVU05361@N,0
1739,AKV62755@N,0
1740,QCQ19900@N,0
1741,QCQ19894@N,0
1742,QGA70702@N,0
1743,ANA67905@N,0
1744,QGA70692@N,0
1745,QCQ20074@N,0
1746,ALM09388@N,0
1747,AKJ21773@N,0
1748,QCQ19840@N,0
1749,AKJ22181@N,0
1750,AKJ22187@N,0
1751,ANI21149@N,0
1752,ANA67916@N,0
1753,ANA67917@N,0
1754,ANA67918@N,0
1755,ALA49374@N,0
1756,ALA49660@N,0
1757,ALA49671@N,0
1758,ALA49682@N,0
1759,ALA49693@N,0
1760,ALA49704@N,0
1761,ALL26396@N,0
1762,ALL26409@N,0
1763,ALS35474@N,0
1764,AYR18467@N,0
1765,AYR18525@N,0
1766,AYR18519@N,0
1767,AYR18513@N,0
1768,AYR18537@N,0
1769,AYR18531@N,0
1770,AKJ21899@N,0
1771,AKJ22019@N,0
1772,ANJ04717@N,0
1773,ANJ04728@N,0
1774,ANA67913@N,0
1775,ALA49616@N,0
1776,ALA49627@N,0
1777,ALA49638@N,0
1778,ALA49649@N,0
1779,ALA50109@N,0
1780,ALA50116@N,0
1781,ALA50123@N,0
1782,AKH45326@N,0
1783,AKH45332@N,0
1784,ALM31938@N,0
1785,AKJ21887@N,0
1786,ALR74757@N,0
1787,ALM31944@N,0
1788,AND76936@N,0
1789,AUZ98436@N,0
1790,ATO98218@N,0
1791,AKJ22061@N,0
1792,AKJ21749@N,0
1793,AMR60833@N,0
1794,APZ73807@N,0
1795,ALA49583@N,0
1796,ALA49594@N,0
1797,ALA49605@N,0
1798,ALA50130@N,0
1799,ALA50137@N,0
1800,ALA50144@N,0
1801,ALA50151@N,0
1802,AKS50222@N,0
1803,AKS50238@N,0
1804,AKS50244@N,0
1805,AVU05431@N,0
1806,ALM09394@N,0
1807,AYR18634@N,0
1808,AYR18616@N,0
1809,AYR18543@N,0
1810,AYR18652@N,0
1811,AYR18607@N,0
1812,AYR18625@N,0
1813,AYR18643@N,0
1814,AKO63237@N,0
1815,AKJ21713@N,0
1816,AYR18549@N,0
1817,AYR18561@N,0
1818,AYR18555@N,0
1819,AYR18599@N,0
1820,AKJ22151@N,0
1821,ALJ52504@N,0
1822,ALS54086@N,0
1823,AMR69050@N,0
1824,APY20694@N,0
1825,ANA67920@N,0
1826,ANA67921@N,0
1827,ALA49385@N,0
1828,ALA49396@N,0
1829,ALA49407@N,0
1830,ALA49418@N,0
1831,ALA49429@N,0
1832,ALA49440@N,0
1833,ALA49451@N,0
1834,ALA49462@N,0
1835,ALA49473@N,0
1836,ALA49484@N,0
1837,ALA49495@N,0
1838,ALA49506@N,0
1839,ALA49517@N,0
1840,ALA49528@N,0
1841,ALA49539@N,0
1842,ALA49550@N,0
1843,ALA49561@N,0
1844,ALA49572@N,0
1845,ALA50158@N,0
1846,ALA50165@N,0
1847,ALA50172@N,0
1848,ALA50179@N,0
1849,ALA50186@N,0
1850,ALB08472@N,0
1851,AKE47378@N,0
1852,AKJ22091@N,0
1853,AKJ22205@N,0
1854,AKJ22145@N,0
1855,AKJ21719@N,0
1856,ANI69835@N,0
1857,AKC54442@N,0
1858,AKC54435@N,0
1859,ASU62488@N,0
1860,AKC34872@N,0
1861,ALA49715@N,0
1862,ALA49726@N,0
1863,ALA49737@N,0
1864,ALA49748@N,0
1865,ALA49759@N,0
1866,ALA49770@N,0
1867,ALA49781@N,0
1868,ALA49792@N,0
1869,ALA50207@N,0
1870,ALA50214@N,0
1871,ALA50221@N,0
1872,ALA50228@N,0
1873,AQZ41296@N,0
1874,AOM53015@N,0
1875,QGQ60288@N,0
1876,ANI85758@N,0
1877,QGQ60216@N,0
1878,AVN89354@N,0
1879,AQT33894@N,0
1880,ALL74066@N,0
1881,AOM53008@N,0
1882,ALF39589@N,0
1883,QGQ60222@N,0
1884,ANI69846@N,0
1885,ASU62499@N,0
1886,ANA67908@N,0
1887,ANA67910@N,0
1888,ANA67911@N,0
1889,ALA49803@N,0
1890,ALA49814@N,0
1891,AYR18679@N,0
1892,AYR18688@N,0
1893,AYR18670@N,0
1894,AYR18585@N,0
1895,AYR18567@N,0
1896,AYR18573@N,0
1897,AYR18591@N,0
1898,ANI69857@N,0
1899,AYR18579@N,0
1900,ANI69868@N,0
1901,ARQ03269@N,0
1902,ANI69878@N,0
1903,ANA78443@N,0
1904,QEY10625@N,0
1905,AVN89334@N,0
1906,ASU90241@N,0
1907,ANA67909@N,0
1908,ANA67912@N,0
1909,ANA67914@N,0
1910,ALA49825@N,0
1911,ALA49836@N,0
1912,ALA49847@N,0
1913,ALA49858@N,0
1914,ALA49869@N,0
1915,ALA49880@N,0
1916,ALA49891@N,0
1917,ALA49902@N,0
1918,ALA49913@N,0
1919,ALA49924@N,0
1920,ALA49935@N,0
1921,ALA49946@N,0
1922,ALA50056@N,0
1923,ALA50067@N,0
1924,ALA50080@N,0
1925,ALA50193@N,0
1926,ALA50200@N,0
1927,ALA50249@N,0
1928,ALA50256@N,0
1929,ALA13745@N,0
1930,ASU90208@N,0
1931,ASU90197@N,0
1932,ASU90901@N,0
1933,ASU90681@N,0
1934,ASU90747@N,0
1935,ASU90186@N,0
1936,ASU90252@N,0
1937,ASU90384@N,0
1938,ASU90758@N,0
1939,ASU90373@N,0
1940,ASU89933@N,0
1941,ASU90593@N,0
1942,ASU90032@N,0
1943,ASU90692@N,0
1944,ASU90494@N,0
1945,ASU90340@N,0
1946,ASU90846@N,0
1947,ASU91032@N,0
1948,ASU90879@N,0
1949,ASU90010@N,0
1950,ASU90670@N,0
1951,ASU90054@N,0
1952,ASU90615@N,0
1953,ASU90076@N,0
1954,ASU89955@N,0
1955,ASU90560@N,0
1956,ASU90043@N,0
1957,ASU90109@N,0
1958,ASU90098@N,0
1959,ASU90164@N,0
1960,ASU90648@N,0
1961,ASU90604@N,0
1962,ASU89966@N,0
1963,ASU90714@N,0
1964,ASU90626@N,0
1965,ASU90725@N,0
1966,ASU90780@N,0
1967,ASU90659@N,0
1968,ASU90571@N,0
1969,ASU90065@N,0
1970,ASU90120@N,0
1971,ASU90142@N,0
1972,ASU90549@N,0
1973,ASU90021@N,0
1974,ASU90637@N,0
1975,ASU89988@N,0
1976,ASU90131@N,0
1977,ASU90219@N,0
1978,ASU90263@N,0
1979,ASU90923@N,0
1980,ASU90824@N,0
1981,ASU90505@N,0
1982,ASU90395@N,0
1983,ASU90966@N,0
1984,ASU90956@N,0
1985,ASU90582@N,0
1986,ASU90912@N,0
1987,ASU89921@N,0
1988,ASU90978@N,0
1989,ASU90483@N,0
1990,ASU90406@N,0
1991,ASU90857@N,0
1992,ASU90945@N,0
1993,ASU91065@N,0
1994,ASU89977@N,0
1995,ASU90791@N,0
1996,ASU90175@N,0
1997,ASU90087@N,0
1998,ASU90988@N,0
1999,ASU90813@N,0
2000,ASU91043@N,0
2001,ASU90417@N,0
2002,ASU91021@N,0
2003,ASU90439@N,0
2004,ASU90428@N,0
2005,ASU90516@N,0
2006,ASU90461@N,0
2007,ASU91010@N,0
2008,ASU90307@N,0
2009,ASU90835@N,0
2010,ASU90868@N,0
2011,ASU89944@N,0
2012,ASU90472@N,0
2013,ASU90538@N,0
2014,ASU90890@N,0
2015,ASU91054@N,0
2016,ASU90285@N,0
2017,ASU90802@N,0
2018,ASU90736@N,0
2019,ASU90934@N,0
2020,ASU90703@N,0
2021,ASU90351@N,0
2022,ASU90527@N,0
2023,ASU90318@N,0
2024,ASU90274@N,0
2025,ASU90329@N,0
2026,ASU90153@N,0
2027,ASU90769@N,0
2028,YP_009194639@N,0
2029,ASU89999@N,0
2030,ASU90999@N,0
2031,ASU90362@N,0
2032,ASU90230@N,0
2033,APV46130@N,0
2034,ATG31100@N,0
2035,AVN89324@N,0
2036,AXP20281@N,0
2037,AXX83351@N,0
2038,ASO96550@N,0
2039,AVN89365@N,0
2040,AKV62619@N,0
2041,AVN89344@N,0
2042,ALD83756@N,0
2043,AMR69043@N,0
2044,AMR69044@N,0
2045,AMR69045@N,0
2046,AMR69046@N,0
2047,AMR69047@N,0
2048,AMR69048@N,0
2049,AMR69049@N,0
2050,AVU05445@N,0
2051,AML40604@N,0
2052,ANA67922@N,0
2053,ANA67923@N,0
2054,ANA67915@N,0
2055,ANA67919@N,0
2056,AMK51938@N,0
2057,AMK51948@N,0
2058,ALA49957@N,0
2059,ALA49968@N,0
2060,ALA49979@N,0
2061,ALA49990@N,0
2062,ALA50001@N,0
2063,ALA50012@N,0
2064,ALA50023@N,0
2065,ALA50034@N,0
2066,ALA50045@N,0
2067,ALA50235@N,0
2068,ALA50242@N,0
2069,ASU91142@N,0
2070,ASU91120@N,0
2071,ASU91076@N,0
2072,ASU91197@N,0
2073,ASU91109@N,0
2074,ASU91208@N,0
2075,ASU91175@N,0
2076,ASU91252@N,0
2077,ASU91325@N,0
2078,ASU91295@N,0
2079,ASU91219@N,0
2080,ASU91098@N,0
2081,ASU91273@N,0
2082,ASU91315@N,0
2083,ASU91305@N,0
2084,ASU91153@N,0
2085,ASU91164@N,0
2086,ASU91131@N,0
2087,ASU91262@N,0
2088,ASU91087@N,0
2089,ASU91230@N,0
2090,ASU91186@N,0
2091,ASU91241@N,0
2092,ANA78450@N,0
2093,ATQ39390@N,0
2094,AXX83297@N,0
2095,ANI69889@N,0
2096,QGQ60252@N,0
2097,AMR59401@N,0
2098,ANA67924@N,0
2099,ART85697@N,0
2100,QGQ60336@N,0
2101,QCQ19912@N,0
2102,QGQ60258@N,0
2103,AXX83303@N,0
2104,QGQ60264@N,0
2105,ATG31094@N,0
2106,ANI69900@N,0
2107,ANI69922@N,0
2108,QGQ60276@N,0
2109,QGQ60270@N,0
2110,AXX83333@N,0
2111,ANI69911@N,0
2112,ANJ04974@N,0
2113,APX42113@N,0
2114,APX42119@N,0
2115,APX42125@N,0
2116,APY23560@N,0
2117,ALP06210@N,0
2118,QGQ60282@N,0
2119,AXX83357@N,0
2120,AXX83363@N,0
2121,AXX83339@N,0
2122,AXX83309@N,0
2123,AXX83315@N,0
2124,AMN91621@N,0
2125,AXX83369@N,0
2126,AMN91670@N,0
2127,ALZ48519@N,0
2128,ALZ48520@N,0
2129,ALZ48521@N,0
2130,ALZ48522@N,0
2131,AVP78042@N,0
2132,QGQ60306@N,0
2133,QGQ60300@N,0
2134,AXX83345@N,0
2135,AXX83327@N,0
2136,ANA78457@N,0
2137,ARC95235@N,0
2138,ARC95274@N,0
2139,AOS89611@N,0
2140,QGQ60318@N,0
2141,QGQ60312@N,0
2142,QGX07410@N,0
2143,ARC95243@N,0
2144,ARC95267@N,0
2145,QCX35167@N,0
2146,QCX35178@N,0
2147,ARC95259@N,0
2148,QGQ60324@N,0
2149,ARC95251@N,0
2150,AXX83321@N,0
2151,ARC95227@N,0
2152,ARC95211@N,0
2153,ARC95219@N,0
2154,AST13221@N,0
2155,AST13227@N,0
2156,AST13233@N,0
2157,AST13239@N,0
2158,AST13245@N,0
2159,AST13130@N,0
2160,AST13136@N,0
2161,AYP73629@N,0
2162,ALU34112@N,0
2163,QCX35160@N,0
2164,AVU05473@N,0
2165,ARC95203@N,0
2166,APX42131@N,0
2167,APX42137@N,0
2168,ANI85776@N,0
2169,APZ76690@N,0
2170,ANI85825@N,0
2171,ATO98231@N,0
2172,ANI85818@N,0
2173,ANI85812@N,0
2174,ANI85734@N,0
2175,ANI85746@N,0
2176,AVU05480@N,0
2177,AVU05487@N,0
2178,QGQ60330@N,0
2179,ANI85728@N,0
2180,ANI85764@N,0
2181,ANI85788@N,0
2182,ANI85782@N,0
2183,AMW88197@N,0
2184,APG30998@N,0
2185,APG31005@N,0
2186,ANI85806@N,0
2187,ANI85794@N,0
2188,AVU05403@N,0
2189,ANI85740@N,0
2190,ANI85752@N,0
2191,ANI85770@N,0
2192,QEY10657@N,0
2193,QEY10641@N,0
2194,QEY10649@N,0
2195,ANI85839@N,0
2196,ATP16467@N,0
2197,AXX83375@N,0
2198,ANI85800@N,0
2199,APZ76698@N,0
2200,QCQ19990@N,0
2201,ANI85832@N,0
2202,ANI85846@N,0
2203,AQT01349@N,0
2204,ANA78464@N,0
2205,ASA40091@N,0
2206,ASA40103@N,0
2207,ASA40109@N,0
2208,ASA40097@N,0
2209,ART85704@N,0
2210,ATV90801@N,0
2211,AOM53027@N,0
2212,AVK78147@N,0
2213,AVN89376@N,0
2214,QEY10665@N,0
2215,AQY61719@N,0
2216,QEE80059@N,0
2217,API80970@N,0
2218,AVN89420@N,0
2219,AVN89387@N,0
